Date,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,High 10,
7/1/1945, 740 ," 1,612 "," 1,063 "," 2,117 ", 910 , 916 ," 1,188 ", 744 , 422 , 328 
8/1/1945, 265 , 220 , 243 , 178 , 193 , 170 , 172 , 231 , 343 , 954 
9/1/1945, 304 , 291 , 386 , 229 , 244 , 303 , 243 , 189 , 236 , 331 
10/1/1945, 198 , 368 , 289 , 192 , 222 , 192 , 354 , 305 , 277 , 237 
11/1/1945, 153 , 280 , 185 , 126 , 179 , 114 , 106 , 86 , 61 , 119 
12/1/1945," 5,030 "," 2,628 "," 7,267 "," 1,577 "," 4,696 ", 734 ," 1,749 ", 826 ," 1,707 ", 774 
1/1/1946, 180 , 382 , 173 , 154 , 102 , 89 , 110 , 153 , 91 , 53 
2/1/1946, 476 , 230 , 288 , 188 , 328 , 228 , 125 , 193 , 181 , 148 
3/1/1946, 391 , 444 , 364 , 406 , 457 , 238 , 218 , 171 , 248 , 374 
4/1/1946," 1,130 ", 817 , 916 , 437 , 250 , 322 , 339 , 247 , 223 , 210 
5/1/1946, 262 , 307 , 567 , 209 , 269 , 311 , 297 , 289 , 484 , 905 
6/1/1946, 513 , 982 , 455 , 951 , 310 , 412 , 315 , 249 , 292 , 235 
7/1/1946, 321 , 670 , 792 , 541 , 443 , 573 , 483 , 673 , 588 , 731 
